province,turnout
Blagoevgrad,38.539266705473
Burgas,37.244229915668
Varna,35.121333350055
Veliko Tarnovo,33.597017518073
Vidin,34.588880920458
Vratsa,36.669680618346
Gabrovo,33.748976855158
Dobrich,34.916038022281
Kardzhali,43.259290351845
Kyustendil,34.633281283104
Lovech,35.579821903264
Montana,39.531906291413
Pazardzhik,33.569461787212
Pernik,36.514069790254
Pleven,32.26738503163
Plovdiv Town,34.25093305438
Plovdiv District,33.040606620849
Razgrad,40.966253195395
Ruse,31.132483099868
Silistra,41.157379977539
Sliven,29.743616239552
Smolyan,39.620000731823
Sofia 23 ИР,39.046958491468
Sofia 24 ИР,34.040856554072
Sofia 25 IR,31.655182072829
Sofia District,36.953767288906
Stara Zagora,37.162799534678
Targovishte,41.859048493463
Haskovo,40.008192404471
Shumen,38.9775990114
Yambol,34.014467768651
