id,label,total,votes,turnout
223378,Antwerpen,338575,295311,87.22
223379,Boom,46978,42272,89.98
223380,Brecht,75666,67797,89.6
223381,Kapellen,89089,79459,89.19
223382,Kontich,94641,85821,90.68
223383,Zandhoven,75387,67646,89.73
223384,Duffel,41296,37599,91.05
223385,Heist-op-den-Berg,66467,60689,91.31
223386,Lier,42339,36052,85.15
223387,Mecheln,79418,71912,90.55
223388,Puurs-Saint-Amands,37281,34368,92.19
223389,Sonderkanton Ausw. Ang.: Niederl&#xE4;ndisches Wahlkollegium,11293,5101,45.17
223390,Arendonk,33303,30921,92.85
223391,Herentals,81986,74908,91.37
223392,Hoogstraten,28872,26584,92.08
223393,Mol,83038,75944,91.46
223394,Turnhout,61881,56373,91.1
223395,Westerlo,52544,47710,90.8
223396,Anderlecht,73456,60858,82.85
223397,Brussel,86396,70504,81.61
223398,Ixelles,75435,63510,84.19
223399,Molenbeek-Saint-Jean,104584,86748,82.95
223400,Saint-Gilles,21072,17510,83.1
223401,Saint-Josse-Ten-Noode,85408,72928,85.39
223402,Schaerbeek,86194,71580,83.05
223403,Uccle,75532,63186,83.65
223404,Brussel (E5),8114,4013,49.46
223405,Asse,108522,98801,91.04
223406,Halle,72222,64220,88.92
223407,Meise,62661,56700,90.49
223408,Vilvoorde,65203,58748,90.1
223409,Zaventem,54000,47788,88.5
223410,Rhode-Saint-Genèse,46036,40217,87.36
223411,Lennik,36937,34181,92.54
223412,Aarschot,40810,37246,91.27
223413,Diest,48463,44017,90.83
223414,Haacht,63907,57794,90.43
223415,Landen,12169,11164,91.74
223416,Löwen,142818,129478,90.66
223417,Tienen,40867,35409,86.64
223418,Zoutleeuw,17340,16100,92.85
223419,Glabbeek,15575,14304,91.84
223420,Genappe,19435,17530,90.2
223421,Jodoigne,34079,30809,90.4
223422,Nivelles,110179,96470,87.56
223423,Perwez,23577,21406,90.79
223424,Wavre,105486,92840,88.01
223425,Brugge,210480,186916,88.8
223426,Torhout,16077,14766,91.85
223427,Dixmuiden,40341,37156,92.1
223428,Ypern,33396,30221,90.49
223429,Mesen,6650,6251,94.0
223430,Poperinge,15398,14017,91.03
223431,Wervik,13947,12798,91.76
223432,Zonnebeke,9743,9063,93.02
223433,Vleteren,2808,2603,92.7
223434,Avelgem,9411,8616,91.55
223435,Harelbeke,60903,56487,92.75
223436,Kortrijk,103288,93899,90.91
223437,Menen,48422,44391,91.68
223438,Gistel,28099,26036,92.66
223439,Ostende,95875,83431,87.02
223440,Hooglede,16592,15281,92.1
223441,Izegem,30577,27985,91.52
223442,Lichtervelde,7040,6559,93.17
223443,Roeselare,62861,57166,90.94
223444,Meulebeke,15072,14080,93.42
223445,Oostrozebeke,13435,12625,93.97
223446,Ruiselede,15305,14156,92.49
223447,Tielt,28146,25880,91.95
223448,Nieuwpoort,9764,8611,88.19
223449,Veurne,40855,36074,88.3
223450,Aalst,94876,84484,89.05
223451,Geraardsbergen,25968,23769,91.53
223452,Herzele,37172,34100,91.74
223453,Ninove,44377,41491,93.5
223454,Zottegem,21102,19281,91.37
223455,Dendermonde,61917,56031,90.49
223456,Hamme,27299,25085,91.89
223457,Wetteren,38689,35721,92.33
223458,Zele,27431,24824,90.5
223459,Assenede,20326,18574,91.38
223460,Eeklo,40314,36547,90.66
223461,Kaprijke,5103,4665,91.42
223462,Destelbergen,14296,13315,93.14
223463,Evergem,27665,24998,90.36
223464,Gent,184274,164620,89.33
223465,Lochristi,28595,26295,91.96
223466,Merelbeke,49217,45454,92.35
223467,Nazareth,24356,22585,92.73
223468,Deinze,45853,42025,91.65
223469,Aalter,22879,21014,91.85
223470,Lievegem,20887,19110,91.49
223471,Oudenaarde,34665,32076,92.53
223472,Ronse,23664,21099,89.16
223473,Brakel,17072,15622,91.51
223474,Horebeke,8118,7568,93.22
223475,Kruisem,12377,11631,93.97
223476,Beveren,37309,33505,89.8
223477,Lokeren,30387,28093,92.45
223478,Sint-Gillis-Waas,29044,26796,92.26
223479,Sint-Niklaas,55477,49615,89.43
223480,Temse,35002,31763,90.75
223481,Ath,22682,20202,89.07
223482,Beloeil,19076,16873,88.45
223483,Chièvres,7862,7063,89.84
223484,Flobecq,7371,6577,89.23
223485,Frasnes-lez-Anvaing,9091,8118,89.3
223486,Enghien,16513,14779,89.5
223487,Lessines,14032,12071,86.02
223488,Charleroi,132280,109039,82.43
223489,Châtelet,64464,55176,85.59
223490,Fontaine-l'Evêque,52112,45124,86.59
223491,Pont-à-Celles,20227,18009,89.03
223492,Boussu,48789,41599,85.26
223493,Dour,35026,30310,86.54
223494,Frameries,21731,18742,86.25
223495,Lens,10793,9875,91.49
223496,Mons,66947,54996,82.15
223497,Le Roeulx,6414,5768,89.93
223498,Soignies,44116,38527,87.33
223499,Seneffe,24335,21172,87.0
223500,Anderlues,8754,7366,84.14
223501,Beaumont,12236,10871,88.84
223502,Chimay,11459,10104,88.18
223503,Merbes-le-Château,10437,9095,87.14
223504,Thuin,26947,23586,87.53
223505,Antoing,15481,13918,89.9
223506,Celles,7178,6518,90.81
223507,Estaimpuis,9920,8841,89.12
223508,Péruwelz,12370,10864,87.83
223509,Tournai,50092,42167,84.18
223510,Leuze-en-Hainaut,10664,9360,87.77
223511,Mouscron,34965,30903,88.38
223512,Comines-Warneton,10480,9274,88.49
223513,La Louvière,52574,45580,86.7
223514,Binche,43354,37574,86.67
223515,Ferrières,3819,3437,90.0
223516,Héron,6453,5887,91.23
223517,Huy,41628,35722,85.81
223518,Nandrin,26291,23525,89.48
223519,Verlaine,8133,7286,89.59
223520,Aywaille,35267,30346,86.05
223521,Bassenge,32583,27806,85.34
223522,Fléron,66187,56892,85.96
223523,Herstal,25804,21217,82.22
223524,Luttich,130847,106201,81.16
223525,Saint-Nicolas,34980,29428,84.13
223526,Seraing,50439,42258,83.78
223527,Visé,18706,16348,87.39
223528,Grâce-Hollogne,41880,35328,84.36
223529,Aubel,10060,9535,94.78
223530,Dison,9842,8198,83.3
223531,Eupen,27995,23933,85.49
223532,Herve,17888,15985,89.36
223533,Limburg,21873,19175,87.67
223534,Malmedy,15527,13374,86.13
223535,Sankt Vith,22864,19740,86.34
223536,Spa,24879,20981,84.33
223537,Stavelot,12620,10990,87.08
223538,Verviers,40881,33113,81.0
223539,Eupen (E5),211,140,66.35
223540,Sonderkanton Ausw. Ang.: Deutschsprachiges Wahlkollegium,53,42,79.25
223541,Hannut,22185,19936,89.86
223542,Waremme,40151,35696,88.9
223543,Beringen,94442,84817,89.81
223544,Genk,58532,52917,90.41
223545,Hasselt,92148,83156,90.24
223546,Herk-de-Stad,30286,27596,91.12
223547,Sint-Truiden,44016,39801,90.42
223548,Bree,39733,36594,92.1
223549,Maaseik,40769,37276,91.43
223550,Peer,43939,40499,92.17
223551,Pelt,54154,49525,91.45
223552,Bilzen,32129,29898,93.06
223553,Borgloon,36286,33950,93.56
223554,Riemst,11176,10317,92.31
223555,Tongern,24173,21931,90.73
223556,Maasmechelen,40283,37268,92.52
223557,Voeren,2570,1597,62.14
223558,Arlon,25838,22677,87.77
223559,Messancy,15242,13247,86.91
223560,Bastogne,14284,12827,89.8
223561,Fauvillers,1639,1514,92.37
223562,Houffalize,3893,3516,90.32
223563,Vielsalm,9814,8545,87.07
223564,Sainte-Ode,5995,5482,91.44
223565,Durbuy,8859,7690,86.8
223566,Erezée,5334,4841,90.76
223567,La Roche-en-Ardenne,7546,6914,91.62
223568,Marche-en-Famenne,17630,15633,88.67
223569,Nassogne,4124,3723,90.28
223570,Bouillon,4190,3592,85.73
223571,Neufchâteau,17661,16036,90.8
223572,Paliseul,11864,10707,90.25
223573,Saint-Hubert,8138,7266,89.28
223574,Wellin,5296,4772,90.11
223575,Etalle,13479,12277,91.08
223576,Florenville,8210,7228,88.04
223577,Virton,17629,15691,89.01
223578,Beauraing,10764,9694,90.06
223579,Ciney,26627,23486,88.2
223580,Dinant,29943,26200,87.5
223581,Gedinne,8164,7333,89.82
223582,Rochefort,9754,8463,86.76
223583,Andenne,29861,26134,87.52
223584,Eghezée,25403,22996,90.52
223585,Fosses-la-Ville,33670,29736,88.32
223586,Namur,88766,75042,84.54
223587,Gembloux,60833,53409,87.8
223588,Sonderkanton Ausw. Ang.: Französisches Wahlkollegium,8656,5485,63.37
223589,Couvin,15219,12969,85.22
223590,Florennes,8783,7793,88.73
223591,Philippeville,13458,12046,89.51
223592,Walcourt,14238,12661,88.92
