name,turnout
Rīga,35.26
Daugavpils,23.89
Jelgava,28.49
Jēkabpils,25.74
Jūrmala,32.49
Liepāja,30.87
Rēzekne,25.55
Valmiera,33.73
Ventspils,25.98
Aizkraukles novads,27.12
Jaunjelgavas novads,23.4
Pļaviņu novads,27.79
Kokneses novads,26.14
Neretas novads,27.7
Skrīveru novads,33.35
Alūksnes novads,27.92
Apes novads,27.63
Balvu novads,22.98
Viļakas novads,23.67
Baltinavas novads,24.88
Rugāju novads,24.78
Bauskas novads,24.78
Iecavas novads,29.16
Rundāles novads,23.89
Vecumnieku novads,29.28
Cēsu novads,32.68
Līgatnes novads,30.9
Amatas novads,30.31
Jaunpiebalgas novads,27.19
Priekuļu novads,29.7
Pārgaujas novads,30.17
Raunas novads,30.67
Vecpiebalgas novads,31.06
Daugavpils novads,20.35
Ilūkstes novads,25.7
Dobeles novads,26.27
Auces novads,25.6
Tērvetes novads,25.45
Gulbenes novads,24.22
Jelgavas novads,22.87
Ozolnieku novads,29.22
Jēkabpils novads,27.98
Aknīstes novads,24.25
Viesītes novads,25.92
Krustpils novads,24.27
Salas novads,25.02
Krāslavas novads,23.5
Dagdas novads,19.83
Aglonas novads,23.22
Kuldīgas novads,24.94
Skrundas novads,26.71
Alsungas novads,33.69
Aizputes novads,29.19
Durbes novads,31.77
Grobiņas novads,32.47
Pāvilostas novads,29.57
Priekules novads,26.62
Nīcas novads,32.85
Rucavas novads,30.77
Vaiņodes novads,26.77
Limbažu novads,30.6
Alojas novads,26.87
Salacgrīvas novads,29.47
Ludzas novads,21.79
Kārsavas novads,21.59
Zilupes novads,22.33
Ciblas novads,25.61
Madonas novads,28.56
Cesvaines novads,26.96
Lubānas novads,29.48
Varakļānu novads,31.78
Ērgļu novads,31.27
Ogres novads,32.37
Ikšķiles novads,41.32
Ķeguma novads,31.43
Lielvārdes novads,29.9
Preiļu novads,27.89
Līvānu novads,25.45
Riebiņu novads,22.92
Vārkavas novads,29.7
Rēzeknes novads,20.19
Viļānu novads,25.68
Baldones novads,31.43
Ķekavas novads,34.89
Olaines novads,28.93
Salaspils novads,33.29
Saulkrastu novads,37.52
Siguldas novads,35.47
Inčukalna novads,28.39
Ādažu novads,33.84
Babītes novads,34.45
Carnikavas novads,40.88
Garkalnes novads,35.07
Krimuldas novads,33.18
Mālpils novads,28.76
Mārupes novads,37.67
Ropažu novads,27.99
Sējas novads,31.31
Stopiņu novads,33.39
Saldus novads,26.44
Brocēnu novads,23.55
Talsu novads,24.88
Dundagas novads,25.66
Mērsraga novads,26.87
Rojas novads,30.3
Tukuma novads,26.2
Kandavas novads,27.11
Engures novads,32.83
Jaunpils novads,29.88
Valkas novads,28.88
Smiltenes novads,32.26
Strenču novads,30.77
Kocēnu novads,30.07
Mazsalacas novads,33.25
Rūjienas novads,29.98
Beverīnas novads,29.32
Burtnieku novads,32.5
Naukšēnu novads,30.2
Ventspils novads,24.17
